0:0:0:0:0:0:0:1 - - [13/Dec/2021:10:47:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:10:48:09 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1168
0:0:0:0:0:0:0:1 - - [13/Dec/2021:10:48:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:02:46 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:02:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:03:09 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:03:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:05:32 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1538
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:05:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:05:56 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:05:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:08:55 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:08:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:09:26 +0900] "GET /client/html/ex17_form.html HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [13/Dec/2021:11:09:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
